title,price,rating,in_stock,availability_raw
A Light in the Attic,£51.77,3,True,In stock
Tipping the Velvet,£53.74,1,True,In stock
Soumission,£50.10,1,True,In stock
Sharp Objects,£47.82,4,True,In stock
Sapiens: A Brief History of Humankind,£54.23,5,True,In stock
The Requiem Red,£22.65,1,True,In stock
The Dirty Little Secrets of Getting Your Dream Job,£33.34,4,True,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,3,True,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4,True,In stock
The Black Maria,£52.15,1,True,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2,True,In stock
Shakespeare's Sonnets,£20.66,4,True,In stock
Set Me Free,£17.46,5,True,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5,True,In stock
Rip it Up and Start Again,£35.02,5,True,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3,True,In stock
Olio,£23.88,1,True,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1,True,In stock
Libertarianism for Beginners,£51.33,2,True,In stock
It's Only the Himalayas,£45.17,2,True,In stock
In Her Wake,£12.84,1,True,In stock
How Music Works,£37.32,2,True,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3,True,In stock
Chase Me (Paris Nights #2),£25.27,5,True,In stock
Black Dust,£34.53,5,True,In stock
Birdsong: A Story in Pictures,£54.64,3,True,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,3,True,In stock
Aladdin and His Wonderful Lamp,£53.13,3,True,In stock
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5,True,In stock
Wall and Piece,£44.18,4,True,In stock
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,5,True,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3,True,In stock
The Elephant Tree,£23.82,5,True,In stock
The Bear and the Piano,£36.89,1,True,In stock
Sophie's World,£15.94,5,True,In stock
Penny Maybe,£33.29,3,True,In stock
Maude (1883-1993):She Grew Up with the country,£18.02,2,True,In stock
"In a Dark, Dark Wood",£19.63,1,True,In stock
Behind Closed Doors,£52.22,4,True,In stock
You can't bury them all: Poems,£33.63,2,True,In stock
Slow States of Collapse: Poems,£57.31,3,True,In stock
Reasons to Stay Alive,£26.41,2,True,In stock
Private Paris (Private #10),£47.61,5,True,In stock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,5,True,In stock
Without Borders (Wanderlove #1),£45.07,2,True,In stock
When We Collided,£31.77,1,True,In stock
"We Love You, Charlie Freeman",£50.27,5,True,In stock
Untitled Collection: Sabbath Poems 2014,£14.27,4,True,In stock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,4,True,In stock
Unicorn Tracks,£18.78,3,True,In stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,1,True,In stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,1,True,In stock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,3,True,In stock
This One Summer,£19.49,4,True,In stock
Thirst,£17.27,5,True,In stock
The Torch Is Passed: A Harding Family Story,£19.09,1,True,In stock
The Secret of Dreadwillow Carse,£56.13,1,True,In stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,1,True,In stock
The Past Never Ends,£56.50,4,True,In stock
The Natural History of Us (The Fine Art of Pretending #2),£45.22,3,True,In stock
